duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 7m 31sec.,451.0,2012-01-04 18:34:00,McPherson Square - 14th & H St NW,31216.0,2012-01-04 18:41:00,20th & E St NW,31204.0,W00335,Registered,8243
0h 10m 57sec.,657.0,2012-01-04 18:34:00,Thomas Circle,31241.0,2012-01-04 18:45:00,7th & F St NW / National Portrait Gallery,31232.0,W00593,Registered,8244
0h 6m 6sec.,366.0,2012-01-04 18:34:00,Columbus Circle / Union Station,31623.0,2012-01-04 18:40:00,11th & H St NE,31614.0,W01016,Registered,8245
0h 17m 59sec.,1079.0,2012-01-04 18:35:00,Massachusetts Ave & Dupont Circle NW,31200.0,2012-01-04 18:53:00,1st & M St NE,31603.0,W00548,Registered,8246
0h 8m 31sec.,511.0,2012-01-04 18:35:00,25th St & Pennsylvania Ave NW,31237.0,2012-01-04 18:43:00,C & O Canal & Wisconsin Ave NW,31225.0,W00100,Registered,8247
0h 7m 19sec.,439.0,2012-01-04 18:35:00,14th & V St NW,31101.0,2012-01-04 18:42:00,11th & Kenyon St NW,31102.0,W00272,Registered,8248
0h 9m 3sec.,543.0,2012-01-04 18:35:00,Metro Center / 12th & G St NW,31230.0,2012-01-04 18:44:00,15th & P St NW,31201.0,W01097,Registered,8249
0h 15m 26sec.,926.0,2012-01-04 18:35:00,14th & V St NW,31101.0,2012-01-04 18:50:00,14th & Rhode Island Ave NW,31203.0,W00933,Registered,8250
0h 16m 11sec.,971.0,2012-01-04 18:35:00,19th & L St NW,31224.0,2012-01-04 18:51:00,7th & T St NW,31109.0,W00136,Registered,8251
0h 6m 7sec.,367.0,2012-01-04 18:35:00,17th & K St NW / Farragut Square,31233.0,2012-01-04 18:41:00,15th & P St NW,31201.0,W01054,Registered,8252
0h 6m 5sec.,365.0,2012-01-04 18:35:00,17th & Corcoran St NW,31214.0,2012-01-04 18:42:00,14th & V St NW,31101.0,W01173,Registered,8253
0h 8m 40sec.,520.0,2012-01-04 18:36:00,25th St & Pennsylvania Ave NW,31237.0,2012-01-04 18:44:00,Massachusetts Ave & Dupont Circle NW,31200.0,W00661,Registered,8254
0h 4m 54sec.,294.0,2012-01-04 18:36:00,12th & Hayes St,31001.0,2012-01-04 18:41:00,23rd & Eads,31013.0,W00769,Registered,8255
0h 5m 37sec.,337.0,2012-01-04 18:36:00,10th & U St NW,31111.0,2012-01-04 18:41:00,16th & U St NW,31229.0,W00560,Registered,8256
0h 5m 33sec.,333.0,2012-01-04 18:36:00,20th St & Florida Ave NW,31110.0,2012-01-04 18:41:00,14th & V St NW,31101.0,W00533,Registered,8257
0h 7m 27sec.,447.0,2012-01-04 18:36:00,US Dept of State / Virginia Ave & 21st St NW,31220.0,2012-01-04 18:44:00,Massachusetts Ave & Dupont Circle NW,31200.0,W01061,Registered,8258
0h 6m 34sec.,394.0,2012-01-04 18:36:00,17th & Corcoran St NW,31214.0,2012-01-04 18:43:00,Thomas Circle,31241.0,W00126,Registered,8259
0h 11m 37sec.,697.0,2012-01-04 18:36:00,10th & U St NW,31111.0,2012-01-04 18:48:00,8th & H St NW,31228.0,W00585,Registered,8260
0h 31m 55sec.,1915.0,2012-01-04 18:37:00,Tenleytown / Wisconsin Ave & Albemarle St NW,31303.0,2012-01-04 19:08:00,14th St & Spring Rd NW,31401.0,W00054,Registered,8261
0h 18m 23sec.,1103.0,2012-01-04 18:37:00,19th St & Pennsylvania Ave NW,31100.0,2012-01-04 18:55:00,Lamont & Mt Pleasant NW,31107.0,W00666,Registered,8262
0h 20m 53sec.,1253.0,2012-01-04 18:37:00,Lamont & Mt Pleasant NW,31107.0,2012-01-04 18:58:00,Calvert St & Woodley Pl NW,31106.0,W00762,Casual,8263
0h 7m 18sec.,438.0,2012-01-04 18:37:00,16th & U St NW,31229.0,2012-01-04 18:44:00,16th & Harvard St NW,31103.0,W01267,Registered,8264
0h 5m 57sec.,357.0,2012-01-04 18:37:00,13th St & New York Ave NW,31227.0,2012-01-04 18:43:00,19th St & Pennsylvania Ave NW,31100.0,W00187,Registered,8265
0h 4m 40sec.,280.0,2012-01-04 18:37:00,25th St & Pennsylvania Ave NW,31237.0,2012-01-04 18:42:00,19th & L St NW,31224.0,W01037,Registered,8266
0h 16m 0sec.,960.0,2012-01-04 18:37:00,7th & F St NW / National Portrait Gallery,31232.0,2012-01-04 18:53:00,Eastern Market / 7th & North Carolina Ave SE,31610.0,W00639,Registered,8267
0h 9m 54sec.,594.0,2012-01-04 18:37:00,16th & Harvard St NW,31103.0,2012-01-04 18:47:00,9th & Upshur St NW,31404.0,W01000,Registered,8268
0h 8m 36sec.,516.0,2012-01-04 18:37:00,US Dept of State / Virginia Ave & 21st St NW,31220.0,2012-01-04 18:46:00,18th & M St NW,31221.0,W01084,Registered,8269
0h 7m 8sec.,428.0,2012-01-04 18:37:00,19th St & Constitution Ave NW,31235.0,2012-01-04 18:44:00,10th St & Constitution Ave NW,31219.0,W01357,Registered,8270
0h 4m 59sec.,299.0,2012-01-04 18:38:00,Lamont & Mt Pleasant NW,31107.0,2012-01-04 18:43:00,Adams Mill & Columbia Rd NW,31104.0,W00427,Registered,8271
0h 6m 41sec.,401.0,2012-01-04 18:38:00,New York Ave & 15th St NW,31222.0,2012-01-04 18:45:00,Convention Center / 7th & M St NW,31223.0,W00847,Registered,8272
0h 5m 57sec.,357.0,2012-01-04 18:38:00,Lamont & Mt Pleasant NW,31107.0,2012-01-04 18:44:00,16th & U St NW,31229.0,W00225,Registered,8273
0h 5m 12sec.,312.0,2012-01-04 18:39:00,Columbus Circle / Union Station,31623.0,2012-01-04 18:44:00,1st & M St NE,31603.0,W01198,Registered,8274
0h 21m 33sec.,1293.0,2012-01-04 18:39:00,8th & H St NW,31228.0,2012-01-04 19:01:00,Columbia Rd & Belmont St NW,31113.0,W01302,Registered,8275
0h 5m 44sec.,344.0,2012-01-04 18:39:00,17th & Corcoran St NW,31214.0,2012-01-04 18:45:00,14th & Rhode Island Ave NW,31203.0,W00458,Registered,8276
0h 3m 54sec.,234.0,2012-01-04 18:39:00,Potomac & Pennsylvania Ave SE,31606.0,2012-01-04 18:43:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613.0,W00363,Registered,8277
0h 11m 27sec.,687.0,2012-01-04 18:39:00,L'Enfant Plaza / 7th & C St SW,31218.0,2012-01-04 18:51:00,3rd & H St NE,31616.0,W01119,Registered,8278
0h 10m 24sec.,624.0,2012-01-04 18:40:00,USDA / 12th & Independence Ave SW,31217.0,2012-01-04 18:50:00,5th St & K St NW,31600.0,W01292,Registered,8279
0h 11m 37sec.,697.0,2012-01-04 18:40:00,19th St & Constitution Ave NW,31235.0,2012-01-04 18:51:00,L'Enfant Plaza / 7th & C St SW,31218.0,W00647,Registered,8280
0h 21m 11sec.,1271.0,2012-01-04 18:40:00,US Dept of State / Virginia Ave & 21st St NW,31220.0,2012-01-04 19:01:00,Georgia Ave and Fairmont St NW,31207.0,W00597,Registered,8281
0h 21m 9sec.,1269.0,2012-01-04 18:40:00,Court House Metro / Wilson Blvd & N Uhle St,31017.0,2012-01-04 19:01:00,17th & Corcoran St NW,31214.0,W00013,Registered,8282
0h 8m 51sec.,531.0,2012-01-04 18:40:00,18th & Bell St,31007.0,2012-01-04 18:49:00,S Glebe & Potomac Ave,31010.0,W01299,Registered,8283
0h 13m 28sec.,808.0,2012-01-04 18:40:00,Massachusetts Ave & Dupont Circle NW,31200.0,2012-01-04 18:54:00,14th & Harvard St NW,31105.0,W01365,Registered,8284
0h 6m 58sec.,418.0,2012-01-04 18:40:00,Columbus Circle / Union Station,31623.0,2012-01-04 18:47:00,L'Enfant Plaza / 7th & C St SW,31218.0,W00725,Registered,8285
0h 7m 47sec.,467.0,2012-01-04 18:41:00,Columbus Circle / Union Station,31623.0,2012-01-04 18:49:00,13th & H St NE,31611.0,W01319,Registered,8286
